date,open,high,low,close
2018-07-13,8.89,8.91,8.79,8.85
2018-07-12,8.57,8.94,8.55,8.85
2018-07-11,8.6,8.67,8.52,8.62
2018-07-10,8.85,8.85,8.73,8.81
2018-07-09,8.53,8.86,8.52,8.86
2018-07-06,8.45,8.62,8.29,8.5
2018-07-05,8.46,8.57,8.39,8.44
2018-07-04,8.47,8.59,8.45,8.45
2018-07-03,8.53,8.54,8.29,8.51
2018-07-02,8.88,8.88,8.39,8.45
2018-06-29,8.84,8.96,8.8,8.92
2018-06-28,8.79,8.91,8.71,8.76
2018-06-27,9.14,9.23,8.86,8.92
2018-06-26,9.22,9.27,8.92,9.19
2018-06-25,9.73,9.74,9.21,9.29
2018-06-22,9.62,9.69,9.59,9.67
2018-06-21,9.75,9.86,9.68,9.68
2018-06-20,9.69,9.77,9.58,9.73
2018-06-19,9.86,9.96,9.64,9.69
2018-06-15,9.89,10.1,9.87,9.98
2018-06-14,9.77,9.96,9.74,9.88
2018-06-13,9.86,9.87,9.77,9.77
2018-06-12,9.85,9.89,9.77,9.87
2018-06-11,9.87,9.94,9.82,9.86
2018-06-08,10.14,10.14,9.87,9.93
2018-06-07,10.01,10.27,9.99,10.18
2018-06-06,10.06,10.07,9.91,9.95
2018-06-05,10.1,10.11,9.92,10.07
2018-06-04,10.04,10.12,9.96,10.08
2018-06-01,9.96,10.1,9.88,10.0
2018-05-31,9.92,10.0,9.84,9.99
2018-05-30,10.1,10.1,9.86,9.89
2018-05-29,10.39,10.43,10.16,10.19
2018-05-28,10.39,10.46,10.32,10.4
2018-05-25,10.41,10.47,10.36,10.4
2018-05-24,10.46,10.48,10.39,10.41
2018-05-23,10.62,10.62,10.42,10.45
2018-05-22,10.75,10.78,10.59,10.66
2018-05-21,10.87,10.91,10.73,10.75
2018-05-18,10.61,10.77,10.56,10.76
2018-05-17,10.71,10.74,10.58,10.62
2018-05-16,10.87,10.87,10.69,10.7
2018-05-15,10.97,10.98,10.82,10.92
2018-05-14,10.89,11.02,10.83,10.97
2018-05-11,10.84,10.93,10.76,10.81
2018-05-10,10.83,10.89,10.71,10.81
2018-05-09,10.78,10.83,10.68,10.77
2018-05-08,10.63,10.94,10.6,10.81
2018-05-07,10.5,10.63,10.44,10.61
2018-05-04,10.53,10.63,10.46,10.48
2018-05-03,10.66,10.68,10.38,10.55
2018-05-02,10.77,10.83,10.6,10.68
2018-04-27,11.28,11.3,10.43,10.65
2018-04-26,11.45,11.47,11.1,11.21
2018-04-25,11.54,11.59,11.42,11.46
2018-04-24,11.42,11.72,11.37,11.64
2018-04-23,11.09,11.4,11.05,11.36
2018-04-20,11.3,11.37,10.99,11.14
2018-04-19,11.31,11.47,11.21,11.26
2018-04-18,11.24,11.4,11.07,11.29
2018-04-17,10.92,11.24,10.91,11.0
2018-04-16,11.26,11.26,10.83,10.9
2018-04-13,11.43,11.57,11.24,11.36
2018-04-12,11.58,11.61,11.21,11.31
2018-04-11,11.18,11.7,11.17,11.61
2018-04-10,10.82,11.25,10.77,11.21
2018-04-09,10.6,10.9,10.53,10.82
2018-04-04,10.48,10.81,10.4,10.67
2018-04-03,10.4,10.47,10.32,10.37
2018-04-02,10.67,10.79,10.5,10.51
2018-03-30,10.84,10.85,10.68,10.7
2018-03-29,10.72,10.96,10.36,10.85
2018-03-28,10.65,10.93,10.59,10.69
2018-03-27,10.9,10.96,10.66,10.74
2018-03-26,10.94,10.99,10.66,10.73
2018-03-23,11.04,11.14,10.72,11.13
2018-03-22,11.68,11.75,11.41,11.45
2018-03-21,11.73,11.9,11.63,11.68
2018-03-20,11.52,11.66,11.5,11.6
2018-03-19,11.45,11.62,11.4,11.61
2018-03-16,11.5,11.63,11.43,11.43
2018-03-15,11.57,11.63,11.45,11.49
2018-03-14,11.76,11.78,11.61,11.7
2018-03-13,11.82,12.0,11.78,11.8
2018-03-12,11.93,11.95,11.73,11.81
2018-03-09,11.93,11.98,11.76,11.87
2018-03-08,11.83,11.93,11.73,11.89
2018-03-07,11.93,12.11,11.82,11.83
2018-03-06,11.73,11.89,11.55,11.88
2018-03-05,11.71,11.86,11.58,11.64
2018-03-02,11.7,11.82,11.63,11.73
2018-03-01,11.7,11.93,11.68,11.82
2018-02-28,11.88,11.97,11.71,11.83
2018-02-27,12.41,12.47,11.97,12.05
2018-02-26,12.53,12.61,12.22,12.4
2018-02-23,12.35,12.55,12.22,12.38
2018-02-22,12.02,12.3,12.02,12.23
2018-02-14,11.74,11.81,11.54,11.78
2018-02-13,11.65,11.99,11.62,11.72
2018-02-12,11.56,11.62,11.35,11.5
2018-02-09,11.86,11.86,11.17,11.47
2018-02-08,12.59,12.68,12.3,12.31
2018-02-07,13.96,14.04,12.53,12.68
2018-02-06,13.97,14.07,13.67,13.74
2018-02-05,13.55,14.3,13.48,14.28
2018-02-02,13.65,13.84,13.38,13.79
2018-02-01,13.69,14.04,13.59,13.77
2018-01-31,13.35,13.79,13.28,13.79
2018-01-30,13.45,13.59,13.3,13.4
2018-01-29,13.79,13.99,13.35,13.49
2018-01-26,13.92,14.08,13.76,13.79
2018-01-25,14.18,14.2,13.74,13.94
2018-01-24,14.39,14.8,14.23,14.37
2018-01-23,14.1,14.63,14.07,14.38
2018-01-22,14.33,14.66,14.16,14.17
2018-01-19,14.53,14.85,14.41,14.53
2018-01-18,14.13,14.45,14.02,14.45
2018-01-17,14.07,14.53,13.94,13.97
2018-01-16,13.91,14.12,13.76,13.94
2018-01-15,13.26,14.07,13.25,13.94
2018-01-12,13.2,13.43,13.16,13.3
2018-01-11,13.16,13.34,13.03,13.15
2018-01-10,12.8,13.24,12.68,13.22
2018-01-09,12.72,12.96,12.68,12.84
2018-01-08,13.01,13.05,12.62,12.72
2018-01-05,12.97,13.1,12.91,13.06
2018-01-04,13.07,13.12,12.89,13.01
2018-01-03,13.48,13.6,12.96,13.08
2018-01-02,13.1,13.67,13.07,13.45
